flow id,source ip,source port,destination ip,destination port,protocol,timestamp,flow duration,total fwd packets,total backward packets,total length of fwd packets,total length of bwd packets,fwd packet length max,fwd packet length min,fwd packet length mean,fwd packet length std,bwd packet length max,bwd packet length min,bwd packet length mean,bwd packet length std,flow bytes/s,flow packets/s,flow iat mean,flow iat std,flow iat max,flow iat min,fwd iat total,fwd iat mean,fwd iat std,fwd iat max,fwd iat min,bwd iat total,bwd iat mean,bwd iat std,bwd iat max,bwd iat min,fwd psh flags,bwd psh flags,fwd urg flags,bwd urg flags,fwd header length,bwd header length,fwd packets/s,bwd packets/s,min packet length,max packet length,packet length mean,packet length std,packet length variance,fin flag count,syn flag count,rst flag count,psh flag count,ack flag count,urg flag count,cwe flag count,ece flag count,down/up ratio,average packet size,avg fwd segment size,avg bwd segment size,fwd header length.1,fwd avg bytes/bulk,fwd avg packets/bulk,fwd avg bulk rate,bwd avg bytes/bulk,bwd avg packets/bulk,bwd avg bulk rate,subflow fwd packets,subflow fwd bytes,subflow bwd packets,subflow bwd bytes,init_win_bytes_forward,init_win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,active mean,active std,active max,active min,idle mean,idle std,idle max,idle min,attack_cat,label
172.16.0.1-192.168.10.50-36500-80-6,172.16.0.1,36500,192.168.10.50,80,6,5/7/2017 10:25,265394,1,3,0,1983.0,0,0,0.0,0.0,1983,0,661.0,1144.885584,7471.909689,15.07193079,88464.66667,118782.949,223472.0,5.0,0.0,0.0,0.0,0.0,0.0,223477.0,111738.5,158015.0311,223472.0,5.0,0,0,0,0,32,96,3.767982697,11.30394809,0,1983,396.6,886.8245599,786457.8,0,0,0,0,1,1,0,0,3,495.75,0.0,661.0,32,0,0,0,0,0,0,1,0,3,1983,229,235,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS Slowhttptest,1.0
192.168.10.25-23.15.4.11-53004-443-6,192.168.10.25,53004,23.15.4.11,443,6,5/7/2017 3:07,76228,11,7,644,2548.0,389,0,58.54545455,119.6297318,1448,0,364.0,535.6749636,41874.37687,236.1337042,4484.0,8318.252431,27334.0,4.0,76228.0,7622.8,14046.77623,43359.0,4.0,60475.0,10079.16667,11539.36561,27334.0,48.0,0,0,0,0,364,232,144.3039303,91.82977384,0,1448,168.0,356.9716764,127428.7778,0,0,0,1,0,0,0,0,0,177.3333333,58.54545455,364.0,364,0,0,0,0,0,0,11,644,7,2548,65535,972,5,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
172.217.12.173-192.168.10.12-443-54620-6,172.217.12.173,443,192.168.10.12,54620,6,7/7/2017 3:21,2853,3,1,38,6.0,38,0,12.66666667,21.93931023,6,6,6.0,0.0,15422.36243,1402.032948,951.0,1607.480326,2807.0,2.0,2853.0,1426.5,2014.54722,2851.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,96,20,1051.524711,350.5082369,0,38,8.8,16.52876281,273.2,0,0,0,0,1,0,0,0,0,11.0,12.66666667,6.0,96,0,0,0,0,0,0,3,38,1,6,349,0,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
192.168.10.14-54.230.51.40-57082-443-6,54.230.51.40,443,192.168.10.14,57082,6,5/7/2017 3:39,3,2,0,12,0.0,6,6,6.0,0.0,0,0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,666666.6667,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,127,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
192.168.10.12-23.208.218.66-49698-443-6,23.208.218.66,443,192.168.10.12,49698,6,5/7/2017 10:26,48,2,0,31,0.0,31,0,15.5,21.92031022,0,0,0.0,0.0,645833.3333,41666.66667,48.0,0.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,0,41666.66667,0.0,0,31,20.66666667,17.89785834,320.3333333,0,1,0,0,1,0,0,0,0,31.0,15.5,0.0,64,0,0,0,0,0,0,2,31,0,0,939,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
172.16.0.1-192.168.10.50-34462-80-6,172.16.0.1,34462,192.168.10.50,80,6,5/7/2017 10:15,63087392,7,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.110957194,10500000.0,11900000.0,32000000.0,999677.0,63100000.0,10500000.0,11900000.0,32000000.0,999677.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,280,0,0.110957194,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,280,0,0,0,0,0,0,7,0,0,0,29200,-1,0,40,7007441.0,0.0,7007441.0,7007441.0,18700000.0,12200000.0,32000000.0,8016140.0,DoS Slowhttptest,1.0
172.16.0.1-192.168.10.50-34234-80-6,172.16.0.1,34234,192.168.10.50,80,6,5/7/2017 10:19,20997995,2,1,12,0.0,12,0,6.0,8.485281374,0,0,0.0,0.0,0.571483134,0.142870784,10500000.0,14800000.0,21000000.0,52.0,21000000.0,21000000.0,0.0,21000000.0,21000000.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,32,0.095247189,0.047623595,0,12,6.0,6.92820323,48.0,0,1,0,0,1,0,0,0,0,8.0,6.0,0.0,64,0,0,0,0,0,0,2,12,1,0,229,235,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS Slowhttptest,1.0
172.16.0.1-192.168.10.50-37726-80-6,172.16.0.1,37726,192.168.10.50,80,6,5/7/2017 10:32,4,1,1,1983,0.0,1983,1983,1983.0,0.0,0,0,0.0,0.0,496000000.0,500000.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,32,32,250000.0,250000.0,0,1983,1322.0,1144.885584,1310763.0,0,1,0,0,1,0,0,0,1,1983.0,1983.0,0.0,32,0,0,0,0,0,0,1,1983,1,0,235,235,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS Slowhttptest,1.0
192.168.10.19-199.59.149.201-52895-443-6,192.168.10.19,52895,199.59.149.201,443,6,7/7/2017 2:18,117452160,15,12,1473,4493.0,974,0,98.2,249.8511557,1448,0,374.4166667,543.6162514,50.79514928,0.22988083,4517390.769,15900000.0,58500000.0,3.0,117000000.0,8389440.0,21200000.0,58500000.0,3.0,117000000.0,10700000.0,23600000.0,58600000.0,4.0,0,0,0,0,488,392,0.127711572,0.102169258,0,1448,213.0714286,416.3501846,173347.4762,0,0,0,1,0,0,0,0,0,220.962963,98.2,374.4166667,488,0,0,0,0,0,0,15,1473,12,4493,29200,130,6,32,315236.5,315390.1305,538251.0,92222.0,58400000.0,227113.5057,58500000.0,58200000.0,BENIGN,0.0
151.101.1.198-192.168.10.5-80-49731-6,192.168.10.5,49731,151.101.1.198,80,6,7/7/2017 9:32,70187749,17,18,382,14706.0,292,0,22.47058824,69.4713229,2920,0,817.0,1024.340075,214.9662899,0.498662523,2064345.559,4098338.994,10000000.0,3.0,70200000.0,4386734.313,5119260.603,10000000.0,105.0,70100000.0,4126111.765,5079557.026,10000000.0,49.0,0,0,0,0,352,456,0.242207511,0.256455012,0,2920,419.1111111,821.4045733,674705.473,0,0,0,1,0,0,0,0,1,431.0857143,22.47058824,817.0,352,0,0,0,0,0,0,17,382,18,14706,8192,60,16,20,26490.28571,29904.01987,94303.0,14989.0,9994033.0,18845.94367,10000000.0,9951695.0,BENIGN,0.0
