Proto,Dur,SrcBytes,DstBytes,sTtl,dTtl,SrcLoad,DstLoad,SrcPkts,DstPkts,sMeanPktSz,dMeanPktSz,SIntPkt,DIntPkt,TcpRtt,SynAck,AckDat,DeviceName,label_mac,label,generated_label
38,2.645091,270,270,64.0,46.0,544.404724,544.404724,3,3,90.0,90.0,1219.24,1218.9445,0.0,0.0,0.0,insteon camera,00:62:6e:51:27:2e,5,-1
37,0.25629,149,149,64.0,214.0,2341.098145,2341.098145,2,2,74.5,74.5,256.29,0.114,0.209882,0.206076,0.003806,amazon echo,44:65:0d:56:cc:d3,2,-1
38,2.636939,270,270,64.0,46.0,546.087708,546.087708,3,3,90.0,90.0,1215.249,1214.7845,0.0,0.0,0.0,insteon camera,00:62:6e:51:27:2e,5,-1
37,4.013998,243,231,100.0,32.0,322.870117,306.925903,3,3,81.0,77.0,4666.3015,1904.7005,0.0,0.0,0.0,smart things,d0:52:a8:00:67:5e,3,3
37,4.203962,780,330,64.0,227.0,1187.451294,502.38324,5,5,156.0,66.0,1008.004625,1008.011188,0.0,0.0,0.0,dropcam,30:8c:fb:2f:e4:b2,1,-1
37,0.660311,1152,4826,64.0,32.0,13036.28125,53974.566406,15,13,76.800003,371.230774,47.16507,37.032168,0.216213,0.215427,0.000786,insteon camera,00:62:6e:51:27:2e,5,-1
37,4.234287,1130,536,64.0,228.0,1830.768799,869.095581,7,7,161.428574,76.571426,1014.600875,1014.605688,0.0,0.0,0.0,dropcam,30:8c:fb:2f:e4:b2,1,-1
37,1.240824,366,246,100.0,35.0,1773.015381,793.021423,4,2,91.5,123.0,1787.99025,3575.9135,0.0,0.0,0.0,smart things,d0:52:a8:00:67:5e,3,-1
37,0.231903,183,177,100.0,36.0,3173.740723,3070.249268,2,2,91.5,88.5,4068.545,3960.127,0.0,0.0,0.0,smart things,d0:52:a8:00:67:5e,3,-1
37,1.192108,149,244,64.0,208.0,503.310089,1093.860596,2,3,74.5,81.333336,1192.108,467.359,0.206601,0.205497,0.001104,amazon echo,44:65:0d:56:cc:d3,2,-1
37,0.207581,183,177,100.0,35.0,3545.604004,3429.986328,2,2,91.5,88.5,4081.7175,3978.497,0.0,0.0,0.0,smart things,d0:52:a8:00:67:5e,3,-1
37,0.897139,132,132,47.0,64.0,588.537537,588.537537,2,2,66.0,66.0,5164.9705,5165.461,0.0,0.0,0.0,withings smart baby monitor,00:24:e4:11:18:a8,4,-1
38,2.617824,270,270,64.0,48.0,550.075134,550.075134,3,3,90.0,90.0,1209.8915,1209.6255,0.0,0.0,0.0,insteon camera,00:62:6e:51:27:2e,5,-1
37,0.218187,183,177,100.0,35.0,3373.253174,3263.255859,2,2,91.5,88.5,4060.9735,3952.565,0.0,0.0,0.0,smart things,d0:52:a8:00:67:5e,3,-1
37,4.89813,66,132,47.0,64.0,0.0,107.796242,1,2,66.0,66.0,5098.819,5155.5025,0.0,0.0,0.0,withings smart baby monitor,00:24:e4:11:18:a8,4,-1
37,1.196326,244,298,64.0,210.0,1090.003906,1497.919434,3,4,81.333336,74.5,598.163,311.711656,0.246636,0.215278,0.031358,amazon echo,44:65:0d:56:cc:d3,2,-1
38,2.65079,270,270,64.0,49.0,543.234314,543.234314,3,3,90.0,90.0,1220.8485,1220.6685,0.0,0.0,0.0,insteon camera,00:62:6e:51:27:2e,5,-1
37,0.248387,149,149,64.0,209.0,2415.585449,2415.585449,2,2,74.5,74.5,0.681,253.363,0.212182,0.204683,0.007499,amazon echo,44:65:0d:56:cc:d3,2,-1
37,0.218184,183,177,100.0,35.0,3373.299805,3263.300781,2,2,91.5,88.5,4061.5685,3953.165,0.0,0.0,0.0,smart things,d0:52:a8:00:67:5e,3,-1
37,0.654243,1152,4814,64.0,35.0,13157.191406,54340.667969,15,13,76.800003,370.307678,46.731645,36.481332,0.216456,0.215874,0.000582,insteon camera,00:62:6e:51:27:2e,5,-1
37,0.756758,149,244,64.0,212.0,792.855896,1723.140137,2,3,74.5,81.333336,3790.9265,2610.25175,0.20681,0.204863,0.001947,amazon echo,44:65:0d:56:cc:d3,2,-1
37,4.898635,132,66,64.0,47.0,107.785133,0.0,2,1,66.0,66.0,5155.423,5099.785,0.0,0.0,0.0,withings smart baby monitor,00:24:e4:11:18:a8,4,4
38,2.616337,270,270,64.0,48.0,550.387817,550.387817,3,3,90.0,90.0,1209.819,1209.586,0.0,0.0,0.0,insteon camera,00:62:6e:51:27:2e,5,-1
25,0.043704,980,980,64.0,64.0,161449.75,161449.75,10,10,98.0,98.0,4.844778,4.839444,0.0,0.0,0.0,amazon echo,44:65:0d:56:cc:d3,2,-1
37,4.826083,2046,79652,64.0,57.0,3282.164795,130036.710938,31,66,66.0,1206.848511,161.328781,75.924242,0.005688,0.000842,0.004846,amazon echo,44:65:0d:56:cc:d3,2,-1
37,3.10467,132,132,47.0,64.0,170.066376,170.066376,2,2,66.0,66.0,5159.9685,5160.068,0.0,0.0,0.0,withings smart baby monitor,00:24:e4:11:18:a8,4,-1
38,2.530759,270,270,64.0,48.0,568.999268,568.999268,3,3,90.0,90.0,1180.8175,1180.5785,0.0,0.0,0.0,insteon camera,00:62:6e:51:27:2e,5,-1
37,0.0,66,66,64.0,44.0,0.0,0.0,1,1,66.0,66.0,5260.09,4984.796,0.0,0.0,0.0,withings smart baby monitor,00:24:e4:11:18:a8,4,-1
37,0.896279,132,132,44.0,64.0,589.102295,589.102295,2,2,66.0,66.0,5135.483,5135.4645,0.0,0.0,0.0,withings smart baby monitor,00:24:e4:11:18:a8,4,-1
37,2.462399,243,231,100.0,32.0,500.325073,526.315979,3,3,81.0,77.0,4221.7505,1230.965,0.0,0.0,0.0,smart things,d0:52:a8:00:67:5e,3,-1
37,0.206699,183,177,100.0,32.0,3560.733154,3444.622314,2,2,91.5,88.5,3400.836,3298.396,0.0,0.0,0.0,smart things,d0:52:a8:00:67:5e,3,-1
37,3.620704,132,132,47.0,64.0,145.828003,145.828003,2,2,66.0,66.0,5152.006,5152.0405,0.0,0.0,0.0,withings smart baby monitor,00:24:e4:11:18:a8,4,-1
37,0.260564,149,149,64.0,210.0,2302.697266,2302.697266,2,2,74.5,74.5,260.564,0.233,0.224538,0.216203,0.008335,amazon echo,44:65:0d:56:cc:d3,2,2
37,3.830449,132,132,47.0,64.0,137.84285,137.84285,2,2,66.0,66.0,5160.0075,5160.0075,0.0,0.0,0.0,withings smart baby monitor,00:24:e4:11:18:a8,4,-1
37,0.277129,259,246,100.0,34.0,4994.064453,3550.693115,3,2,86.333336,123.0,165.271672,792.7195,0.216443,0.216354,8.9e-05,smart things,d0:52:a8:00:67:5e,3,-1
37,4.482522,132,132,64.0,47.0,117.790833,117.790833,2,2,66.0,66.0,5159.992,5159.9825,0.0,0.0,0.0,withings smart baby monitor,00:24:e4:11:18:a8,4,-1
37,0.207199,183,123,100.0,32.0,3552.140625,0.0,2,1,91.5,123.0,2475.932,4951.837,0.0,0.0,0.0,smart things,d0:52:a8:00:67:5e,3,-1
37,0.889278,132,132,64.0,48.0,593.740112,593.740112,2,2,66.0,66.0,5112.0475,5112.0045,0.0,0.0,0.0,withings smart baby monitor,00:24:e4:11:18:a8,4,-1
37,4.488985,132,132,64.0,44.0,117.621239,117.621239,2,2,66.0,66.0,5135.457,5135.032,0.272967,0.272549,0.000418,withings smart baby monitor,00:24:e4:11:18:a8,4,-1
37,0.711364,298,393,64.0,208.0,2519.104248,3542.490234,4,5,74.5,78.599998,145.226672,166.858,0.210634,0.204704,0.00593,amazon echo,44:65:0d:56:cc:d3,2,-1
37,4.429871,132,132,64.0,44.0,119.190826,119.190826,2,2,66.0,66.0,5135.452,5135.6825,0.0,0.0,0.0,withings smart baby monitor,00:24:e4:11:18:a8,4,-1
37,4.217286,624,264,64.0,228.0,887.774719,375.596985,4,4,156.0,66.0,1255.63475,1255.63475,0.0,0.0,0.0,dropcam,30:8c:fb:2f:e4:b2,1,-1
37,0.786977,132,132,64.0,47.0,670.921753,670.921753,2,2,66.0,66.0,5159.95,5159.956,0.0,0.0,0.0,withings smart baby monitor,00:24:e4:11:18:a8,4,-1
37,1.652914,366,300,100.0,34.0,1330.982666,967.987427,4,3,91.5,100.0,2611.49075,3406.437,0.0,0.0,0.0,smart things,d0:52:a8:00:67:5e,3,-1
37,0.686473,243,231,100.0,32.0,1887.911133,1794.680908,3,3,81.0,77.0,3556.70175,240.7085,0.0,0.0,0.0,smart things,d0:52:a8:00:67:5e,3,-1
37,2.02452,132,132,64.0,44.0,260.802582,260.802582,2,2,66.0,66.0,5143.8855,5143.926,0.0,0.0,0.0,withings smart baby monitor,00:24:e4:11:18:a8,4,-1
37,4.366843,780,330,64.0,228.0,1143.159912,483.644562,5,5,156.0,66.0,1037.349813,1037.333187,0.0,0.0,0.0,dropcam,30:8c:fb:2f:e4:b2,1,-1
37,4.08545,243,231,100.0,32.0,317.223297,301.557953,3,3,81.0,77.0,2042.725,1940.287,0.0,0.0,0.0,smart things,d0:52:a8:00:67:5e,3,-1
37,4.366526,780,330,64.0,228.0,1143.24292,483.679688,5,5,156.0,66.0,1036.809375,1036.799812,0.0,0.0,0.0,dropcam,30:8c:fb:2f:e4:b2,1,-1
38,3.148427,270,270,64.0,49.0,457.371246,457.371246,3,3,90.0,90.0,1375.362,1399.924,0.0,0.0,0.0,insteon camera,00:62:6e:51:27:2e,5,-1
37,3.304692,468,198,64.0,227.0,755.289734,319.545654,3,3,156.0,66.0,1375.741375,1375.771375,0.0,0.0,0.0,dropcam,30:8c:fb:2f:e4:b2,1,-1
37,4.21399,780,330,64.0,227.0,1184.625488,501.187683,5,5,156.0,66.0,1004.680813,1004.656813,0.0,0.0,0.0,dropcam,30:8c:fb:2f:e4:b2,1,-1
37,0.255229,149,149,64.0,213.0,2350.830078,2350.830078,2,2,74.5,74.5,1.422,257.61,0.222714,0.216941,0.005773,amazon echo,44:65:0d:56:cc:d3,2,-1
38,3.135998,270,270,64.0,49.0,459.18396,459.18396,3,3,90.0,90.0,1365.1545,1373.288,0.0,0.0,0.0,insteon camera,00:62:6e:51:27:2e,5,-1
37,0.15972,132,132,47.0,64.0,3305.785156,3305.785156,2,2,66.0,66.0,159.72,154.714,0.0,0.0,0.0,withings smart baby monitor,00:24:e4:11:18:a8,4,-1
37,1.637158,382,300,100.0,35.0,1402.430298,977.303345,4,3,95.5,100.0,2185.64825,2845.458,0.0,0.0,0.0,smart things,d0:52:a8:00:67:5e,3,-1
37,4.413429,132,132,64.0,47.0,119.634872,119.634872,2,2,66.0,66.0,5165.4725,5165.8455,0.0,0.0,0.0,withings smart baby monitor,00:24:e4:11:18:a8,4,-1
37,0.308381,66,66,64.0,47.0,0.0,0.0,1,1,66.0,66.0,5211.006,5519.839,0.0,0.0,0.0,withings smart baby monitor,00:24:e4:11:18:a8,4,-1
37,4.93509,780,330,64.0,227.0,427.955719,1011.531677,5,5,156.0,66.0,1028.197813,1235.989375,0.0,0.0,0.0,dropcam,30:8c:fb:2f:e4:b2,1,-1
37,3.049258,382,246,100.0,35.0,752.970093,322.701447,4,2,95.5,123.0,2119.739,4239.466,0.0,0.0,0.0,smart things,d0:52:a8:00:67:5e,3,-1
37,4.85891,974,470,64.0,227.0,1336.925293,645.412231,6,6,162.333328,78.333336,945.79,945.783312,0.0,0.0,0.0,dropcam,30:8c:fb:2f:e4:b2,1,-1
37,4.435692,565,423,100.0,35.0,849.4729,573.52948,6,4,94.166664,105.75,2056.706,3030.8375,0.0,0.0,0.0,smart things,d0:52:a8:00:67:5e,3,3
38,2.676312,270,270,64.0,47.0,538.053894,538.053894,3,3,90.0,90.0,1229.612,1229.2435,0.0,0.0,0.0,insteon camera,00:62:6e:51:27:2e,5,5
37,4.135089,780,330,64.0,228.0,510.750793,1207.229126,5,5,156.0,66.0,1032.019188,1032.002,0.0,0.0,0.0,dropcam,30:8c:fb:2f:e4:b2,1,-1
37,0.243457,149,149,64.0,214.0,2464.500977,2464.500977,2,2,74.5,74.5,2.0,252.176,0.213926,0.206348,0.007578,amazon echo,44:65:0d:56:cc:d3,2,-1
37,0.65855,1152,4821,64.0,37.0,13071.140625,54070.304688,15,13,76.800003,370.846161,47.039285,36.69325,0.217943,0.217318,0.000625,insteon camera,00:62:6e:51:27:2e,5,-1
37,4.24802,780,330,64.0,224.0,1175.13562,497.172791,5,5,156.0,66.0,1014.695,1014.686,0.0,0.0,0.0,dropcam,30:8c:fb:2f:e4:b2,1,-1
37,0.217414,183,177,100.0,32.0,3385.246582,3274.85791,2,2,91.5,88.5,2891.2605,2783.189,0.0,0.0,0.0,smart things,d0:52:a8:00:67:5e,3,-1
37,4.344432,1064,396,64.0,224.0,1633.355103,607.674377,6,6,177.333328,66.0,841.829687,841.823313,0.0,0.0,0.0,dropcam,30:8c:fb:2f:e4:b2,1,-1
37,0.217701,183,177,100.0,36.0,3380.783691,3270.540771,2,2,91.5,88.5,4060.8275,3952.437,0.0,0.0,0.0,smart things,d0:52:a8:00:67:5e,3,-1
37,4.230012,624,264,64.0,227.0,885.103882,374.467041,4,4,156.0,66.0,1520.43825,1520.441,0.0,0.0,0.0,dropcam,30:8c:fb:2f:e4:b2,1,-1
37,4.958411,846,470,64.0,224.0,1137.461182,632.460632,6,6,141.0,78.333336,864.971,849.6845,0.0,0.0,0.0,dropcam,30:8c:fb:2f:e4:b2,1,-1
37,0.307609,66,66,47.0,64.0,0.0,0.0,1,1,66.0,66.0,5552.861,5245.01,0.0,0.0,0.0,withings smart baby monitor,00:24:e4:11:18:a8,4,-1
37,2.535639,259,231,100.0,34.0,545.819031,485.873566,3,3,86.333336,77.0,1267.8195,1162.484,0.0,0.0,0.0,smart things,d0:52:a8:00:67:5e,3,-1
37,4.30688,132,132,64.0,47.0,122.594543,122.594543,2,2,66.0,66.0,5150.439,5150.4035,0.0,0.0,0.0,withings smart baby monitor,00:24:e4:11:18:a8,4,-1
37,0.224874,183,177,100.0,34.0,3272.943848,3166.217529,2,2,91.5,88.5,4053.904,3943.4635,0.0,0.0,0.0,smart things,d0:52:a8:00:67:5e,3,3
37,4.214511,780,330,64.0,226.0,1184.479126,501.125763,5,5,156.0,66.0,1003.704625,1047.856375,0.223042,0.216379,0.006663,dropcam,30:8c:fb:2f:e4:b2,1,-1
37,0.207552,183,177,100.0,35.0,3546.099365,3430.465576,2,2,91.5,88.5,4081.29,3978.156,0.0,0.0,0.0,smart things,d0:52:a8:00:67:5e,3,-1
37,4.942234,1080,396,64.0,224.0,1456.831055,534.171387,6,6,180.0,66.0,1603.264,1603.322375,0.0,0.0,0.0,dropcam,30:8c:fb:2f:e4:b2,1,-1
37,4.21599,243,231,100.0,37.0,307.401093,292.220795,3,3,81.0,77.0,4734.1265,2004.6825,0.0,0.0,0.0,smart things,d0:52:a8:00:67:5e,3,3
37,1.681075,132,132,64.0,44.0,314.084747,314.084747,2,2,66.0,66.0,5141.7335,5141.7285,0.0,0.0,0.0,withings smart baby monitor,00:24:e4:11:18:a8,4,-1
37,0.310473,272,140,64.0,55.0,5256.495605,1803.699585,4,2,68.0,70.0,103.491,153.285,0.152895,0.143649,0.009246,amazon echo,44:65:0d:56:cc:d3,2,-1
37,4.46329,3846,1122,64.0,223.0,1892.774048,6463.393066,16,17,240.375,66.0,278.960625,276.107469,0.0,0.0,0.0,dropcam,30:8c:fb:2f:e4:b2,1,-1
37,4.588613,132,132,64.0,47.0,115.067451,115.067451,2,2,66.0,66.0,5160.0995,5159.9975,0.0,0.0,0.0,withings smart baby monitor,00:24:e4:11:18:a8,4,-1
37,0.218615,183,177,100.0,35.0,3366.64917,3256.867188,2,2,91.5,88.5,218.615,1.376,0.0,0.0,0.0,smart things,d0:52:a8:00:67:5e,3,-1
37,1.718085,132,132,47.0,64.0,307.318909,307.318909,2,2,66.0,66.0,5150.451,5150.4415,0.0,0.0,0.0,withings smart baby monitor,00:24:e4:11:18:a8,4,4
37,4.262542,780,330,64.0,226.0,1171.132202,495.479004,5,5,156.0,66.0,1227.18075,1227.200375,0.0,0.0,0.0,dropcam,30:8c:fb:2f:e4:b2,1,-1
37,4.351522,1584,77158,64.0,57.0,2790.747803,139599.890625,24,63,66.0,1224.730103,191.07475,72.872,0.004062,0.000865,0.003197,amazon echo,44:65:0d:56:cc:d3,2,2
37,2.137868,132,132,64.0,44.0,246.975037,246.975037,2,2,66.0,66.0,5144.0135,5143.998,0.0,0.0,0.0,withings smart baby monitor,00:24:e4:11:18:a8,4,4
38,2.578765,270,180,64.0,49.0,558.40686,279.20343,3,2,90.0,90.0,1289.3825,1287.17,0.0,0.0,0.0,insteon camera,00:62:6e:51:27:2e,5,-1
37,4.401559,690,404,64.0,227.0,1003.280884,588.882263,5,5,138.0,80.800003,2136.71275,2091.360625,0.0,0.0,0.0,dropcam,30:8c:fb:2f:e4:b2,1,-1
38,2.419732,270,180,64.0,49.0,595.107178,297.553589,3,2,90.0,90.0,1209.866,1208.961,0.0,0.0,0.0,insteon camera,00:62:6e:51:27:2e,5,-1
37,0.217718,183,177,100.0,36.0,3380.519775,3270.2854,2,2,91.5,88.5,4061.536,3953.1265,0.0,0.0,0.0,smart things,d0:52:a8:00:67:5e,3,-1
37,0.848503,625,471,64.0,44.0,4912.180664,2960.508057,6,3,104.166664,157.0,169.700594,286.45,0.275745,0.275284,0.000461,withings smart baby monitor,00:24:e4:11:18:a8,4,-1
37,1.232388,132,132,47.0,64.0,428.436493,428.436493,2,2,66.0,66.0,5150.5225,5150.4655,0.0,0.0,0.0,withings smart baby monitor,00:24:e4:11:18:a8,4,-1
37,4.336146,780,330,64.0,227.0,1151.252808,487.068481,5,5,156.0,66.0,1028.275625,1028.272625,0.0,0.0,0.0,dropcam,30:8c:fb:2f:e4:b2,1,1
38,2.578518,270,180,64.0,47.0,558.460327,279.230164,3,2,90.0,90.0,1289.259,1287.27,0.0,0.0,0.0,insteon camera,00:62:6e:51:27:2e,5,-1
38,2.527434,270,270,64.0,48.0,569.747803,569.747803,3,3,90.0,90.0,1179.2225,1178.771,0.0,0.0,0.0,insteon camera,00:62:6e:51:27:2e,5,-1
37,4.355767,468,198,64.0,224.0,573.033447,242.437225,3,3,156.0,66.0,1730.864625,1730.906375,0.0,0.0,0.0,dropcam,30:8c:fb:2f:e4:b2,1,-1
37,0.627697,1212,4942,64.0,32.0,14491.068359,58486.820312,16,14,75.75,353.0,41.846465,32.392154,0.206425,0.205742,0.000683,insteon camera,00:62:6e:51:27:2e,5,-1
38,2.436332,270,180,64.0,49.0,591.052429,295.526215,3,2,90.0,90.0,1218.166,1203.59,0.0,0.0,0.0,insteon camera,00:62:6e:51:27:2e,5,-1
37,0.778519,132,132,64.0,44.0,678.210815,678.210815,2,2,66.0,66.0,5135.407,5135.2335,0.275709,0.275358,0.000351,withings smart baby monitor,00:24:e4:11:18:a8,4,-1
37,0.747126,298,393,64.0,212.0,2398.524414,3372.925049,4,5,74.5,78.599998,153.053672,175.694,0.233375,0.21574,0.017635,amazon echo,44:65:0d:56:cc:d3,2,-1
