dur,proto,sbytes,dbytes,sttl,dttl,sload,dload,spkts,dpkts,smean,dmean,sinpkt,dinpkt,tcprtt,synack,ackdat,ct_src_ltm,ct_dst_ltm,ct_dst_src_ltm,label
0.001104,120,146,178,31,29,528985.5,644927.5,2,2,73,89,0.011,0.01,0.0,0.0,0.0,2,1,1,0
0.000969,119,132,164,31,29,544891.625,676986.625,2,2,66,82,0.004,0.011,0.0,0.0,0.0,8,4,2,0
3e-06,119,114,0,254,0,152000000.0,0.0,2,0,57,0,0.003,0.0,0.0,0.0,0.0,8,8,8,1
9e-06,119,264,0,60,0,117333328.0,0.0,2,0,132,0,0.009,0.0,0.0,0.0,0.0,12,12,25,0
5e-06,119,114,0,254,0,91200000.0,0.0,2,0,57,0,0.005,0.0,0.0,0.0,0.0,22,22,31,1
1.15687,113,1684,10168,31,29,10815.38965,66413.6875,14,18,120,565,88.963,68.018471,0.000706,0.000552,0.000154,4,4,1,0
0.00176,119,528,304,31,29,1800000.0,1036363.625,4,4,132,76,0.454667,0.192,0.0,0.0,0.0,9,3,6,0
0.006924,113,3680,2456,31,29,4016175.5,2680531.5,18,18,204,136,0.387588,0.378824,0.000615,0.00048,0.000135,4,5,3,0
0.005369,120,568,320,31,29,634755.0625,357608.4688,4,4,142,80,1.255667,1.278,0.0,0.0,0.0,4,4,3,0
0.512522,114,8928,320,31,29,129414.9375,4167.625977,14,6,638,53,39.424768,102.362797,0.000718,0.000574,0.000144,6,6,5,0
2e-06,120,264,0,60,0,528000000.0,0.0,2,0,132,0,0.002,0.0,0.0,0.0,0.0,3,3,3,0
9e-06,119,114,0,254,0,50666664.0,0.0,2,0,57,0,0.009,0.0,0.0,0.0,0.0,39,39,39,1
9e-06,119,78,0,254,0,34666664.0,0.0,2,0,39,0,0.009,0.0,0.0,0.0,0.0,2,1,4,0
0.03385,113,3614,45526,31,29,839940.9375,10591433.0,60,64,60,711,0.578328,0.536839,0.000689,0.000557,0.000132,2,2,1,0
0.00107,119,146,178,31,29,545794.375,665420.5625,2,2,73,89,0.009,0.007,0.0,0.0,0.0,1,1,1,0
1.119383,113,1684,10168,31,29,11177.58691,68637.8125,14,18,120,565,86.076536,65.813647,0.000715,0.000546,0.000169,1,2,1,0
0.695057,113,4908,2448,31,29,54832.91406,27094.18164,34,26,144,94,21.062334,27.775881,0.00065,0.000532,0.000118,2,2,1,0
9e-06,119,114,0,254,0,50666664.0,0.0,2,0,57,0,0.009,0.0,0.0,0.0,0.0,27,25,38,1
4e-06,119,264,0,60,0,264000000.0,0.0,2,0,132,0,0.004,0.0,0.0,0.0,0.0,20,20,34,0
0.80754,113,8928,320,31,29,82135.86719,2645.070312,14,6,638,53,62.11846,161.365797,0.000721,0.000579,0.000142,3,4,2,0
0.001115,119,146,178,31,29,523766.8125,638565.0,2,2,73,89,0.01,0.001,0.0,0.0,0.0,1,8,4,0
